 comment_id | article_id |    author    |                                                                                                                                                                                       body                                                                                                                                                                                       |     created_at      | votes 
------------+------------+--------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------+-------
          1 |         18 | tickle122    | Itaque quisquam est similique et est perspiciatis reprehenderit voluptatem autem. Voluptatem accusantium eius error adipisci quibusdam doloribus.                                                                                                                                                                                                                                | 2020-05-21 23:19:00 |    -1
          2 |          4 | grumpy19     | Nobis consequatur animi. Ullam nobis quaerat voluptates veniam.                                                                                                                                                                                                                                                                                                                  | 2020-01-01 15:02:00 |     7
          3 |          3 | grumpy19     | Qui sunt sit voluptas repellendus sed. Voluptatem et repellat fugiat. Rerum doloribus eveniet quidem vero aut sint officiis. Dolor facere et et architecto vero qui et perferendis dolorem. Magni quis ratione adipisci error assumenda ut. Id rerum eos facere sit nihil ipsam officia aspernatur odio.                                                                         | 2020-09-23 00:18:00 |     3
          4 |         18 | happyamy2016 | Rerum voluptatem quam odio facilis quis illo unde. Ex blanditiis optio tenetur sunt. Cumque dolor ducimus et qui officia quasi non illum reiciendis.                                                                                                                                                                                                                             | 2020-10-10 23:03:00 |     4
          5 |         17 | weegembump   | Quod qui quia dignissimos sit tempore vel reprehenderit. Ipsa ipsa veritatis architecto corporis et et non. Sed alias occaecati eum dignissimos sint eius. Ad ea iste quas quia velit libero voluptatem voluptatem. Animi illo nisi nulla quia sapiente omnis dolorem nulla. Sunt dolor similique.                                                                               | 2020-04-03 21:17:00 |    -5
          6 |         35 | grumpy19     | Veritatis animi et voluptates nesciunt officia facere eaque. Eligendi earum explicabo necessitatibus aut dolorem nisi esse nesciunt. Non iusto rem ut consequuntur quam ut rem sed. Velit laboriosam consectetur enim delectus eos sit veritatis eveniet perspiciatis.                                                                                                           | 2020-07-16 09:16:00 |    -5
          7 |         17 | tickle122    | Facilis corporis animi et non non minus nisi. Magnam et sequi dolorum fugiat ab assumenda.                                                                                                                                                                                                                                                                                       | 2020-04-08 23:10:00 |    12
          8 |         26 | tickle122    | Est debitis iusto sed consectetur. Eum eum rerum qui est nihil maxime quae. Ut autem velit sint iste consequatur culpa voluptatibus. Quo qui nobis cupiditate adipisci nostrum et. Est et qui at sit atque et fuga voluptatibus impedit.                                                                                                                                         | 2020-11-21 19:16:00 |     6
          9 |         19 | cooljmessy   | Ea iure voluptas. Esse vero et dignissimos blanditiis commodi rerum dicta omnis modi.                                                                                                                                                                                                                                                                                            | 2020-01-04 05:14:00 |    -1
         10 |         27 | weegembump   | Incidunt quidem ut. Voluptatem blanditiis ipsa commodi suscipit quae et. Magni assumenda veritatis voluptatem dolor qui.                                                                                                                                                                                                                                                         | 2020-11-24 08:26:00 |     7
         11 |         23 | happyamy2016 | Iure cum non veritatis dolore corrupti deserunt perferendis molestiae. Voluptatem ullam qui aut voluptatem. Magnam quo ut rem nobis quibusdam. Assumenda ex laboriosam ut ea explicabo.                                                                                                                                                                                          | 2020-11-11 18:16:00 |     2
         12 |         11 | happyamy2016 | Maiores sed dolor. Consequatur quasi itaque culpa. Tempora ut autem est ad est voluptatem officiis. Ut sequi quaerat qui nam sunt.                                                                                                                                                                                                                                               | 2020-06-19 06:00:00 |    15
         13 |         16 | happyamy2016 | Dolorem ex dolorem blanditiis id. Error dolorem aut est. Facere nostrum et dolor repellendus neque amet deleniti. Aut debitis ut nam dolores.                                                                                                                                                                                                                                    | 2020-09-10 02:18:00 |     4
         14 |          4 | weegembump   | Iure quas est omnis porro. Est in est distinctio sequi consectetur rerum deserunt. Et et reiciendis. Consequatur distinctio sint porro neque molestiae.                                                                                                                                                                                                                          | 2020-08-14 14:09:00 |    -4
         15 |         13 | jessjelly    | Voluptas enim dolores minima repellendus corporis mollitia omnis. Consectetur vitae quaerat possimus repellendus. Cumque maxime nisi itaque aliquid vel non non.                                                                                                                                                                                                                 | 2020-01-03 13:22:00 |    12
         16 |         30 | happyamy2016 | Saepe iure voluptas aut cum occaecati illo. Unde neque et qui facilis cupiditate animi distinctio.                                                                                                                                                                                                                                                                               | 2020-04-03 23:01:00 |     1
         17 |         17 | weegembump   | Aut rerum culpa consequuntur quos ut pariatur beatae et. Est reprehenderit commodi quia molestiae laboriosam tenetur maxime voluptate et. Sapiente alias illum eaque libero.                                                                                                                                                                                                     | 2020-07-10 09:00:00 |     2
         18 |          5 | jessjelly    | Dicta aut quo unde cupiditate dolorum. Voluptas mollitia exercitationem vel porro dolor. Ea autem est pariatur.                                                                                                                                                                                                                                                                  | 2020-08-15 18:11:00 |     6
         19 |         28 | tickle122    | Id adipisci saepe dolorum et veritatis qui et voluptatibus. Error consequuntur architecto consequatur assumenda rerum similique quo. Quas omnis quam labore exercitationem pariatur veniam assumenda. Tempore maiores rerum. Eum voluptates non repudiandae magnam illo voluptatum. Qui praesentium asperiores rerum vel.                                                        | 2020-06-19 16:03:00 |    -3
         20 |         13 | happyamy2016 | Libero explicabo aperiam esse quae. Dolores in ipsum vitae incidunt. Magnam ullam nihil voluptas enim veritatis et nobis architecto.                                                                                                                                                                                                                                             | 2020-04-07 05:19:00 |     0
         21 |          6 | tickle122    | Exercitationem voluptas inventore corrupti in tenetur cumque. Ut officiis aliquam et quis. Ipsum nostrum sequi voluptatem ex.                                                                                                                                                                                                                                                    | 2020-02-05 12:15:00 |     3
         22 |         27 | cooljmessy   | Voluptatibus tempora ab quam pariatur placeat ullam voluptatem aut. Sequi voluptatem vitae quibusdam et qui est quia. Explicabo delectus ullam quis. Officiis eum ipsam non voluptate quam dolores consequatur. Odio aliquam ut eum tempore enim nesciunt.                                                                                                                       | 2020-06-09 19:02:00 |     2
         23 |         10 | cooljmessy   | Necessitatibus ea eum error ratione sint cumque occaecati non. Dolor rem accusantium sed debitis. Dolor tempora molestias cupiditate veritatis sit sit ipsam. Aut neque et dolore laboriosam.                                                                                                                                                                                    | 2020-02-08 05:12:00 |     2
         24 |         31 | weegembump   | Quisquam perferendis est doloribus quidem a a. Quam quia ratione rerum facilis rerum est quo aut. Doloribus odio non aut tenetur et qui. Maiores vitae qui illo nisi illum. Accusamus consequatur ducimus vero non nobis alias ratione et aut.                                                                                                                                   | 2020-01-08 11:14:00 |    16
         25 |         20 | grumpy19     | Ea et molestiae error. Esse harum facilis vitae numquam. Minus id eaque. Dolores nulla ipsam animi sapiente perspiciatis qui possimus.                                                                                                                                                                                                                                           | 2020-08-20 07:19:00 |    20
         26 |         16 | grumpy19     | Aut iste eum et modi unde. Sunt et adipisci et ut dolorem facilis voluptas. Deleniti sed nemo facilis. Ex ut et. Et pariatur sed necessitatibus et. Accusamus accusantium ipsam ea sunt facilis et.                                                                                                                                                                              | 2020-08-14 02:21:00 |     3
         27 |         31 | happyamy2016 | Dolorem aspernatur labore reiciendis. Similique consequuntur voluptatem illum voluptate illo voluptas et nihil rem. Deserunt et totam tenetur quod. Maxime atque dolorem velit ut sit assumenda. Suscipit tenetur nemo ut ea eos et molestiae quisquam. Architecto asperiores esse.                                                                                              | 2020-05-19 01:14:00 |    12
         28 |          3 | grumpy19     | Dolorem excepturi quaerat. Earum dolor sapiente aut.                                                                                                                                                                                                                                                                                                                             | 2020-03-04 13:05:00 |     2
         29 |         36 | jessjelly    | Perferendis quia et nihil. Quasi ut voluptates sapiente et accusantium vel qui reprehenderit ratione. Autem alias voluptatem accusamus nesciunt beatae vero. Itaque repellat omnis et velit cum corporis aut id voluptas. Nostrum unde fuga ea. Perferendis quas maiores.                                                                                                        | 2020-09-13 07:23:00 |    -2
